bolge,bolge_adi,bina_serial,tellcordia_id,location_id,ad,site_adi,blok_adi,kapi_no,mahalle,cadde,sokak,ilce,il,obek,lat,lon,kat,toplam_hp,res_hp,aktif_res,firsat,penetrasyon,ofis_km
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-141,16014720937,O765027,KARANFİL 32 APT.,,,34,Balkan,Yıldırım Beyazıt Sk.,Yıldırım Beyazıt Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.2182236240554,28.818527587206017,10,21,21,8,13,0.3809523809523809,11.477693399149054
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-97,16014717616,O737369,KAVACIK 61 APT.,,,26,Balkan,Hastane Cd.,Hastane Cd.,Nilüfer,Bursa,BRS-GORUKLE,40.21588113437014,28.819569184758944,5,21,21,10,11,0.4761904761904761,11.397688873123784
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-48,16014720524,O565397,KEBAN 88 APT.,,,10/2,Balkan,Fatih Sk.,Fatih Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21403946817449,28.81175789751812,11,21,21,6,15,0.2857142857142857,12.07125843390746
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-87,16014720517,O718064,KEMER 78 APT.,,,6,Balkan,Fatih Sk.,Fatih Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21428411808026,28.811100648957137,10,21,21,9,12,0.4285714285714285,12.125480833443474
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-142,16014720938,O765028,KIRLANGIÇ 143 APT.,,,34,Balkan,Turan Haznedaroğlu Sk.,Turan Haznedaroğlu Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21826970195451,28.81477980156643,10,21,21,10,11,0.4761904761904761,11.796080483843948
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-143,16014720939,O765029,KONUR 114 APT.,,,26,Balkan,Alpaslan Sk.,Alpaslan Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21472741458712,28.809177372059917,9,21,21,9,12,0.4285714285714285,12.286088635138896
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-18,16014720528,O565367,KOZAN 85 APT.,,,18,Balkan,Fatih Sk.,Fatih Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.2146579286123,28.813355712671274,10,21,21,8,13,0.3809523809523809,11.931821569810785
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-29,16014720530,O565378,KOZLU 83 APT.,,,20,Balkan,Fatih Sk.,Fatih Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21494516488264,28.81329020132032,10,21,21,8,13,0.3809523809523809,11.935723675491555
1,Nilüfer · Dumlupınar – Balkan,BN0001115383,34004156071,O33327544,KOŞTULAR BALKAN,KOŞTULAR BALKAN,A,13A,Balkan,,İstiklal Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21127150000001,28.808864850000003,7,29,26,7,19,0.2692307692307692,12.338119497340262
1,Nilüfer · Dumlupınar – Balkan,BN0001115384,34004156072,O33327545,KOŞTULAR BALKAN,KOŞTULAR BALKAN,B,13B,Balkan,,İstiklal Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21126273263732,28.808499265947468,10,29,26,10,16,0.3846153846153846,12.369168898402322
1,Nilüfer · Dumlupınar – Balkan,BN0001115385,34004156073,O33327546,KOŞTULAR BALKAN,KOŞTULAR BALKAN,C,13C,Balkan,,İstiklal Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.2110469,28.808903200000003,15,29,26,10,16,0.3846153846153846,12.33693634965505
1,Nilüfer · Dumlupınar – Balkan,BN0001115386,34004156074,O33327547,KOŞTULAR BALKAN,KOŞTULAR BALKAN,D,13D,Balkan,,İstiklal Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21098876425792,28.80860458158446,24,30,26,9,17,0.3461538461538461,12.362770700369088
1,Nilüfer · Dumlupınar – Balkan,BN0001115387,34004156075,O33327548,KOŞTULAR VERA,KOŞTULAR VERA,A,7,Balkan,,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21066355690144,28.80992637478767,30,30,26,3,23,0.1153846153846153,12.253943074559295
1,Nilüfer · Dumlupınar – Balkan,BN0001115388,34004156076,O33327549,KOŞTULAR VERA,KOŞTULAR VERA,B,4BA,Balkan,Remzi Keser Sk.,Remzi Keser Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21080244255241,28.80995075629232,30,45,41,8,33,0.1951219512195122,12.25053352264234
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-98,16014720526,O737370,KURTULUŞ 100 APT.,,,8,Balkan,Alpaslan Sk.,Alpaslan Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.215418434929504,28.81224286400119,10,21,21,5,16,0.238095238095238,12.02210328375214
1,Nilüfer · Dumlupınar – Balkan,BN0001128425,34004156584,O35823218,KÖSEDAĞ,KÖSEDAĞ,KÖSEDAĞ,4A,Balkan,Telli Turna Sk.,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21084689999999,28.8110619,18,35,30,9,21,0.3,12.15601695198906
1,Nilüfer · Dumlupınar – Balkan,BN0001128426,34004156585,O35823219,KÖSEDAĞ,KÖSEDAĞ,KÖSEDAĞ,4B,Balkan,Telli Turna Sk.,Telli Turna Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21086249246016,28.81144997485636,11,35,30,15,15,0.5,12.123005950405393
1,Nilüfer · Dumlupınar – Balkan,BN-00007454-17,16014720509,O565366,KİRAZLI 108 APT.,,,38,Balkan,Alpaslan Sk.,Alpaslan Sk.,Nilüfer,Bursa,BRS-GORUKLE,40.21409488244424,28.808999195814028,10,21,21,7,14,0.3333333333333333,12.305002212608953
